ENTITY_NAME	ATTRIBUTE_NAME	DOMAIN_NAME	#	Module	A/B/ID/RL/AS	CC/BIE	Business Term	Dictionary Entry Name	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifiry	Representation Term	Associate Object Class Term Qualifier	Associate Object Class Term	Relation Object Class Term Qualifier	Relation Object Class Term	DESCRIPTION	Card.
INV TRANSACTION	INVENTORY COST	AMOUNT	1462	8.INV	B	BIE	Cost Per Unit	Inventory Transaction_ Transaction Line. Cost Per Unit. Functional Amount	Inventory Transaction 	Transaction Line		Cost Per Unit		Functional Amount					Cost per unit using the method found in field Inventory Cost Method.	0..1
INV TRANSACTION	TRANSACTION ADJUSTMENT COST	AMOUNT	1463	8.INV	B	BIE	Adjustment Cost Per Unit	Inventory Transaction_ Transaction Line. Adjustment Cost Per Unit. Functional Amount	Inventory Transaction 	Transaction Line		Adjustment Cost Per Unit		Functional Amount					Per unit increase or decrease in stocking cost as represented in field Inventory Cost Method of the INV On Hand table.	0..1
INV TRANSACTION	FUNCTIONAL CURRENCY CODE	CURRENCY CODE	1464	8.INV	RL	BIE	Functional Currency Code	Inventory Transaction_ Transaction Line. Functional Currency. Currency_ List	Inventory Transaction 	Transaction Line		Functional Currency					Currency	List	The code of functional or group currency related to the balance (ISO 4217). 	0..1
INV TRANSACTION	INV SYSTEM OR EXTERNAL SOURCE	SOURCE CODE	1465	8.INV	B	BIE	System Or External Source	Inventory Transaction_ Transaction Line. Inventory System Or External Source. Code	Inventory Transaction 	Transaction Line		Inventory System Or External Source		Code					"Indicator used to show whether the inventory transaction is originated within or outside the inventory module. I for internally initiated transaction and E for externally initiated one, for example, purchase or sale."	1..1
INV TRANSACTION	INV RECEIVED AND DISPATCHED CODE	INVENTORY RECEIVED DISPATCHED CODE	1466	8.INV	B	BIE	Received And Dispatched Flag	Inventory Transaction_ Transaction Line. Received And Dispatched Flag. Indicator	Inventory Transaction 	Transaction Line		Received And Dispatched Flag		Indicator					"This indicates whether the inventory is received or dispatched. For example 0 means inventory received, 1 means inventory dispatched."	0..1
INV TRANSACTION	POSTED	was	1467	8.INV	AS	BIE	Posted Date	Inventory Transaction_ Transaction Line. was. Posted_ Handling	Inventory Transaction 	Transaction Line		was			Posted	Handling			A posted handling of this entry	0..1
INV TRANSACTION	CREATED	was	1468	8.INV	AS	BIE	Created	Inventory Transaction_ Transaction Line. was. Created_ Handling	Inventory Transaction 	Transaction Line		was			Created	Handling			A create handling of this entry	1..1
INV TRANSACTION	APPROVED	was	1469	8.INV	AS	BIE	Approved	Inventory Transaction_ Transaction Line. was. Approved_ Handling	Inventory Transaction 	Transaction Line		was			Approved	Handling			An approved handling of this entry	0..1
INV TRANSACTION	LAST MODIFIED	was	1470	8.INV	AS	BIE	Last Modified	Inventory Transaction_ Transaction Line. was. Last Modified_ Handling	Inventory Transaction 	Transaction Line		was			Last Modified	Handling			A last modified handling of this entry	0..1
INV TRANSACTION	GL LINE DEBIT ACCOUNT ID	GL ACCOUNT NUMBER 100	1471	8.INV	RL	BIE	GL Line Debit Account ID	Inventory Transaction_ Transaction Line. Debit. Chart Of Accounts_ Accounting Account	Inventory Transaction 	Transaction Line		Debit					Chart Of Accounts	Accounting Account	The GL account number on which the debit side of the transaction has been posted. 	1..1
INV TRANSACTION	GL LINE CREDIT ACCOUNT ID	GL ACCOUNT NUMBER 100	1472	8.INV	RL	BIE	GL Line Credit Account ID	Inventory Transaction_ Transaction Line. Credit. Chart Of Accounts_ Accounting Account	Inventory Transaction 	Transaction Line		Credit					Chart Of Accounts	Accounting Account	The GL account number on which the credit side of the transaction has been posted. 	1..1
INV TRANSACTION	BUSINESS SEGMENT X	TEXT 25	1473	8.INV	RL	BIE	Business Segment X	Inventory Transaction_ Transaction Line. X. Business Segment_ List	Inventory Transaction 	Transaction Line		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
INV PHYSICAL INVENTORY	PHYSICAL INVENTORY		1474	8.INV	A	BIE	Physical Inventory	Inventory Physical Inventory_ List. Detail. 	Inventory Physical Inventory 	List		Detail							Contains the quantities on hand as of the date of the physical inventory count as well as the flow information.	
			1475	8.INV	ID	BIE	Physical Inventory ID	Inventory Physical Inventory_ List. ID	Inventory Physical Inventory 	List		Identification		Identifier					The unique identifier for this object class	1..1
INV PHYSICAL INVENTORY	INVENTORY COUNT SHEET ID	IDENTIFIER 60	1476	8.INV	B	BIE	Count Sheet ID	Inventory Physical Inventory_ List. Count Sheet ID. Text	Inventory Physical Inventory 	List		Count Sheet ID		Text					The unique identifier for the inventory count sheet; typically auto-generated by the system.	1..1
INV PHYSICAL INVENTORY	INVENTORY COUNT SHEET NUMBER	TEXT 80	1477	8.INV	B	BIE	Count Sheet Number	Inventory Physical Inventory_ List. Count Sheet Number. Text	Inventory Physical Inventory 	List		Count Sheet Number		Text					The number of the inventory count sheet. This number is either generated either by manual input or by the system.	0..1
INV PHYSICAL INVENTORY	INVENTORY COUNT SHEET LINE ID	IDENTIFIER 60	1478	8.INV	B	BIE	Count Sheet Line ID	Inventory Physical Inventory_ List. Count Sheet Line ID. Text	Inventory Physical Inventory 	List		Count Sheet Line ID		Text					The unique identifier for the inventory count sheet line. Typically autogenerated by the system.	1..1
INV PHYSICAL INVENTORY	INV COUNT SHEET LINE NUMBER	TEXT 10	1479	8.INV	B	BIE	Count Sheet Line Number	Inventory Physical Inventory_ List. Count Sheet Line Number. Code	Inventory Physical Inventory 	List		Count Sheet Line Number		Code					The number of the line of the inventory count sheet. This number is generated either by manual input or by the system.	0..1
INV PHYSICAL INVENTORY	INVENTORY PRODUCT ID	IDENTIFIER 75	1480	8.INV	RL	BIE	Inventory Product ID	Inventory Physical Inventory_ List. Recorded. Inventory Product_ List	Inventory Physical Inventory 	List		Recorded					Inventory Product 	List	The reference identifier for the inventory item. 	1..1
INV PHYSICAL INVENTORY	LOCATION ID	IDENTIFIER 75	1481	8.INV	RL	BIE	Inventory Location ID	Inventory Physical Inventory_ List. Recorded. Inventory Location_ List	Inventory Physical Inventory 	List		Recorded					Inventory Location 	List	The reference identifier for the organizations. Shall be a valid entry in INV Location. Typically auto-generated by the system and used for data linking. 	1..1
INV PHYSICAL INVENTORY	INVENTORY ORGANIZATION CODE	IDENTIFIER 25	1482	8.INV	RL	BIE	Inventory Organization Code	Inventory Physical Inventory_ List. Inventory Organization. Business Segment_ List	Inventory Physical Inventory 	List		Inventory Organization					Business Segment	List	The code of the inventory organization. 	1..1
INV PHYSICAL INVENTORY	LOT NUMBER	TEXT 60	1483	8.INV	B	BIE	Lot Number	Inventory Physical Inventory_ List. Lot Number. Text	Inventory Physical Inventory 	List		Lot Number		Text					The number associated with a product that is used for tracking and managing the lot.	0..1
INV PHYSICAL INVENTORY	SERIAL NUMBER	TEXT 60	1484	8.INV	B	BIE	Serial Number	Inventory Physical Inventory_ List. Serial Number. Text	Inventory Physical Inventory 	List		Serial Number		Text					"The number associated with an individual product item that is used for tracking and managing (e.g. a company purchases 10 computers, with each computer be assigned an individual serial number)."	0..1
INV PHYSICAL INVENTORY	BIN ID	TEXT 25	1485	8.INV	B	BIE	Bin ID	Inventory Physical Inventory_ List. Bin ID. Text	Inventory Physical Inventory 	List		Bin ID		Text					Optional identifier for the sub-location. Code used in the system.	0..1
INV PHYSICAL INVENTORY	COUNT DATE	DATE	1486	8.INV	B	BIE	Count Date	Inventory Physical Inventory_ List. Count Date. Date	Inventory Physical Inventory 	List		Count Date		Date					The date of the physical count.	1..1
INV PHYSICAL INVENTORY	INVENTORY STOCKING UOM CODE	MEASUREMENT UNIT CODE	1487	8.INV	RL	BIE	Stocking UOM Code	Inventory Physical Inventory_ List. Stocking. Measurement Unit_ List	Inventory Physical Inventory 	List		Stocking					Measurement Unit	List	The code of the measurement unit used associated with the quantity used for stocking inventory. 	1..1
INV PHYSICAL INVENTORY	SYSTEM QUANTITY	QUANTITY	1488	8.INV	B	BIE	System Quantity	Inventory Physical Inventory_ List. System Quantity. Basic Quantity	Inventory Physical Inventory 	List		System Quantity		Basic Quantity					The actual quantity on hand from physical count in the Basic UOM Code.	1..1
INV PHYSICAL INVENTORY	PHISICAL COUNT QUANTITY	QUANTITY	1489	8.INV	B	BIE	Phisical Count Quantity	Inventory Physical Inventory_ List. Phisical Count Quantity. Basic Quantity	Inventory Physical Inventory 	List		Phisical Count Quantity		Basic Quantity					The quantity on hand at last physical count when multiple counts are performed in the Basic UOM Code.	1..1
INV PHYSICAL INVENTORY	COMMENT	TEXT 200	1490	8.INV	B	BIE	Comment	Inventory Physical Inventory_ List. Comment. Text	Inventory Physical Inventory 	List		Comment		Text					"Comments on the count, the variances, or other information captured."	1..1
INV PHYSICAL INVENTORY	POSTED	was	1491	8.INV	AS	BIE	Posted	Inventory Physical Inventory_ List. was. Posted_ Handling	Inventory Physical Inventory 	List		was			Posted	Handling			A posted handling of this entry	0..1
INV PHYSICAL INVENTORY	CREATED	was	1492	8.INV	AS	BIE	Created	Inventory Physical Inventory_ List. was. Created_ Handling	Inventory Physical Inventory 	List		was			Created	Handling			A create handling of this entry	1..1
INV PHYSICAL INVENTORY	APPROVED	was	1493	8.INV	AS	BIE	Approved	Inventory Physical Inventory_ List. was. Approved_ Handling	Inventory Physical Inventory 	List		was			Approved	Handling			An approved handling of this entry	0..1
INV PHYSICAL INVENTORY	LAST MODIFIED	was	1494	8.INV	AS	BIE	Last Modified	Inventory Physical Inventory_ List. was. Last Modified_ Handling	Inventory Physical Inventory 	List		was			Last Modified	Handling			A last modified handling of this entry	0..1
INV PHYSICAL INVENTORY	BUSINESS SEGMENT X	TEXT 25	1495	8.INV	RL	BIE	Business Segment X	Inventory Physical Inventory_ List. X. Business Segment_ List	Inventory Physical Inventory 	List		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
INV PERIOD BALANCE	INVENTORY PERIOD BALANCE		1496	8.INV	A	BIE	Inventory Period Balance	Inventory Period Balance_ List. Detail. 	Inventory Period Balance 	List		Detail							"Contains inventory information regarding its beginning and ending balances, quantities and durational quantities and amounts."	
			1497	8.INV	ID	BIE	Inventory Period Balance ID	Inventory Period Balance_ List. ID	Inventory Period Balance 	List		Identification		Identifier					The unique identifier for this object class	1..1
INV PERIOD BALANCE	INVENTORY PRODUCT ID	IDENTIFIER 75	1498	8.INV	RL	BIE	Inventory Product ID	Inventory Period Balance_ List. Recorded. Inventory Product_ List	Inventory Period Balance 	List		Recorded					Inventory Product 	List	The reference identifier for the inventory item. 	0..1
INV PERIOD BALANCE	LOCATION ID	IDENTIFIER 75	1499	8.INV	RL	BIE	Inventory Location ID	Inventory Period Balance_ List. Recorded. Inventory Location_ List	Inventory Period Balance 	List		Recorded					Inventory Location 	List	The reference identifier for the organizations. Shall be a valid entry in the INV Location table. 	0..1
INV PERIOD BALANCE	FISCAL YEAR	YEAR IDENTIFIER	1500	8.INV	RL	BIE	Fiscal Period	Inventory Period Balance_ List. Recorded. Fiscal Period	Inventory Period Balance 	List		Recorded						Fiscal Period	"Fiscal year in which the calendar date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. "	0..1
INV PERIOD BALANCE	INVENTORY ORGANIZATION CODE	IDENTIFIER 25	1501	8.INV	RL	BIE	Inventory Organization Code	Inventory Period Balance_ List. Inventory Organization. Business Segment_ List	Inventory Period Balance 	List		Inventory Organization					Business Segment	List	The code of the inventory organization. 	0..1
INV PERIOD BALANCE	LOT NUMBER	TEXT 60	1502	8.INV	B	BIE	Lot Number	Inventory Period Balance_ List. Lot Number. Text	Inventory Period Balance 	List		Lot Number		Text					The number associated with a product that is used for tracking and managing the lot.	0..1
INV PERIOD BALANCE	INVENTORY BEGINNING QUANTITY	QUANTITY	1503	8.INV	B	BIE	Beginning Quantity	Inventory Period Balance_ List. Beginning Quantity. Basic Quantity	Inventory Period Balance 	List		Beginning Quantity		Basic Quantity					The quantity of inventory as of the beginning in the Basic UOM Code.	1..1
INV PERIOD BALANCE	INVENTORY ENDING QUANTITY	QUANTITY	1504	8.INV	B	BIE	Ending Quantity	Inventory Period Balance_ List. Ending Quantity. Basic Quantity	Inventory Period Balance 	List		Ending Quantity		Basic Quantity					The quantity of inventory as of the end in the Basic UOM Code.	1..1
INV PERIOD BALANCE	INV RECEIVED QUANTITY	QUANTITY	1505	8.INV	B	BIE	Received Quantity	Inventory Period Balance_ List. Received Quantity. Basic Quantity	Inventory Period Balance 	List		Received Quantity		Basic Quantity					The goods received quantity of cumulative inventory materials at current period in the Basic UOM Code.	1..1
INV PERIOD BALANCE	INV DISPATCHED QUANTITY	QUANTITY	1506	8.INV	B	BIE	Dispatched Quantity	Inventory Period Balance_ List. Dispatched Quantity. Basic Quantity	Inventory Period Balance 	List		Dispatched Quantity		Basic Quantity					The goods dispatched quantity of cumulative inventory materials at current period in the Basic UOM Code.	1..1
INV PERIOD BALANCE	INV DEBIT AMOUNT	AMOUNT	1507	8.INV	B	BIE	Debit Amount	Inventory Period Balance_ List. Debit Amount. Functional Amount	Inventory Period Balance 	List		Debit Amount		Functional Amount					The cumulative debit amount of inventory materials at current period.	0..1
INV PERIOD BALANCE	INV CREDIT AMOUNT	AMOUNT	1508	8.INV	B	BIE	Credit Amount	Inventory Period Balance_ List. Credit Amount. Functional Amount	Inventory Period Balance 	List		Credit Amount		Functional Amount					The cumulative credit amount of inventory materials at current period.	0..1
INV PERIOD BALANCE	INVENTORY BEGINNING BALANCE	AMOUNT	1509	8.INV	B	BIE	Beginning Balance	Inventory Period Balance_ List. Beginning Balance. Functional Amount	Inventory Period Balance 	List		Beginning Balance		Functional Amount					The beginning balance of inventory.	0..1
INV PERIOD BALANCE	INVENTORY ENDING BALANCE	AMOUNT	1510	8.INV	B	BIE	Ending Balance	Inventory Period Balance_ List. Ending Balance. Functional Amount	Inventory Period Balance 	List		Ending Balance		Functional Amount					The ending balance of inventory.	0..1
INV PERIOD BALANCE	COST ORGANIZATION CODE	IDENTIFIER 25	1511	8.INV	RL	BIE	Cost Organization Code	Inventory Period Balance_ List. Cost Organization. Business Segment_ List	Inventory Period Balance 	List		Cost Organization					Business Segment	List	The code of the cost organization. 	0..1
INV PERIOD BALANCE	INVENTORY STOCKING UOM CODE	MEASUREMENT UNIT CODE	1512	8.INV	RL	BIE	Stocking UOM Code	Inventory Period Balance_ List. Stocking. Measurement Unit_ List	Inventory Period Balance 	List		Stocking					Measurement Unit	List	The code of the measurement unit used associated with the quantity used for stocking inventory. 	0..1
INV PERIOD BALANCE	INVENTORY COSTING UOM CODE	MEASUREMENT UNIT CODE	1513	8.INV	RL	BIE	Costing UOM Code	Inventory Period Balance_ List. Costing. Measurement Unit_ List	Inventory Period Balance 	List		Costing					Measurement Unit	List	The code of the measurement unit used associated with the quantity used for stocking inventory. 	0..1
INV PERIOD BALANCE	BUSINESS SEGMENT X	TEXT 25	1514	8.INV	RL	BIE	Business Segment X	Inventory Period Balance_ List. X. Business Segment_ List	Inventory Period Balance 	List		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
PPE TYPE	PROPERTY PLANT EQUIPMENT TYPE		1515	9.PPE	A	BIE	PPE Type	PPE Type_ List. Detail. 	PPE Type 	List		Detail							"Contains the details of each PPE type. (Property, Plant and Equipment)"	
PPE TYPE	TYPE CODE	IDENTIFIER 60	1516	9.PPE	ID	BIE	PPE Type Code	PPE Type_ List. ID	PPE Type 	List		Identification		Identifier					"The unique code of letters and/or numbers used to represent or identify a PPE type. For instance, using 0201 to represent Manufacturing Equipment, using 0202 to represent Working Equipment."	1..1
PPE TYPE	TYPE NAME	TEXT 60	1517	9.PPE	B	BIE	Type Name	PPE Type_ List. Type Name. Name	PPE Type 	List		Type Name		Name					"The name of the type categorized by the PPE attributes, for example, land, buildings, machinery and equipment."	1..1
PPE TYPE	PARENT TYPE ID	IDENTIFIER 60	1518	9.PPE	RL	BIE	Parent Type ID	PPE Type_ List. Parent. PPE Type_ List	PPE Type 	List		Parent					PPE Type 	List	The reference identifier for the parent PPE type. 	0..1
PPE MASTER	PROPERTY PLANT EQUIPMENT MASTER		1519	9.PPE	A	BIE	PPE Master	PPE Master_ List. Detail. 	PPE Master 	List		Detail							"Contains the details of each PPE item, for example, its code, specification, location, acquiring date, original cost, and quantity."	
PPE MASTER	PPE ID	IDENTIFIER 100	1520	9.PPE	ID	BIE	PPE ID	PPE Master_ List. ID	PPE Master 	List		Identification		Identifier					The unique identifier for the PPE.	1..1
PPE MASTER	PPE CODE	TEXT 60	1521	9.PPE	B	BIE	PPE Code	PPE Master_ List. PPE Code. Code	PPE Master 	List		PPE Code		Code					The internal code of PPE at the local level.	1..1
PPE MASTER	TAG NUMBER	TEXT 60	1522	9.PPE	B	BIE	Tag Number	PPE Master_ List. Tag Number. Identifier	PPE Master 	List		Tag Number		Identifier					"The tag was commonly used when there was no ERP system to record PPE's state of the whole lifespan. Nowadays, some ERP systems still follow to use it in the business of PPE. The number is usually generated by manual input or is system generated; for example, when there is a PPE, a tag is created correspondingly. And each tag contains either one PPE or several PPEs. However, each PPE has its own PPE ID as a unique identifier. If a tag only has one PPE, the PPE ID is the same as the Tag Number."	0..1
PPE MASTER	TYPE CODE	IDENTIFIER 60	1523	9.PPE	RL	BIE	Type Code	PPE Master_ List. Recorded. PPE Type_ List	PPE Master 	List		Recorded					PPE Type 	List	The reference code of the PPE type. 	1..1
PPE MASTER	PPE NAME	TEXT 60	1524	9.PPE	B	BIE	PPE Name	PPE Master_ List. PPE Name. Name	PPE Master 	List		PPE Name		Name					The name of the PPE.	1..1
PPE MASTER	PPE FEATURE	TEXT 60	1525	9.PPE	B	BIE	PPE Feature	PPE Master_ List. PPE Feature Code. Code	PPE Master 	List		PPE Feature Code		Code					"The feature is used to specify the PPE more clearly, for example, the brand, color, size and configuration."	1..1
PPE MASTER	BAR CODE	TEXT 25	1526	9.PPE	B	BIE	Bar Code	PPE Master_ List. Bar Code. Code	PPE Master 	List		Bar Code		Code					"Universal Product Code or other external code, for example, the product code from a primary supplier."	0..1
PPE MASTER	PURCHASE ORDER ID	IDENTIFIER 100	1527	9.PPE	RL	BIE	Purchase Order ID	PPE Master_ List. Recorded. Purchase_ Order	PPE Master 	List		Recorded					Purchase	Order	The reference identifier for the purchase order. It may not be exitst.	1..1
PPE MASTER	INVENTORY PRODUCT ID	IDENTIFIER 75	1528	9.PPE	RL	BIE	Inventory Product ID	PPE Master_ List. Recorded. Inventory Product_ List	PPE Master 	List		Recorded					Inventory Product 	List	The reference identifier for the inventory item. It may not be exitst.	1..1
PPE MASTER	SERIAL NUMBER	TEXT 60	1529	9.PPE	B	BIE	Serial Number	PPE Master_ List. Serial Number. Text	PPE Master 	List		Serial Number		Text					"The number associated with an individual PPE that is used for tracking and managing (e.g. a company purchases 10 computers, with each computer be assigned a individual serial number)."	0..1
PPE MASTER	LOT NUMBER	TEXT 60	1530	9.PPE	B	BIE	Lot Number	PPE Master_ List. Lot Number. Text	PPE Master 	List		Lot Number		Text					The number associated with a PPE that is used for tracking and managing the lot.	0..1
PPE MASTER	MANUFACTURER	TEXT 100	1531	9.PPE	B	BIE	Manufacturer	PPE Master_ List. Manufacturer. Text	PPE Master 	List		Manufacturer		Text					Manufacturer of the PPE.	0..1
PPE MASTER	SUPPLIER ACCOUNT ID	IDENTIFIER 100	1532	9.PPE	RL	BIE	Supplier Account ID	PPE Master_ List. Recorded. Supplier_ Party	PPE Master 	List		Recorded					Supplier	Party	The reference identifier for the supplier. 	0..1
PPE MASTER	LOCATION DESCRIPTION	TEXT 1000	1533	9.PPE	B	BIE	Location Description	PPE Master_ List. Location Description. Text	PPE Master 	List		Location Description		Text					Description of the location where the PPE is placed.	1..1
PPE MASTER	CONDITION NAME	TEXT 60	1534	9.PPE	B	BIE	Condition Name	PPE Master_ List. Condition Name. Name	PPE Master 	List		Condition Name		Name					"The name of various usage status of PPE, for example, asset in-use, not-in-use and not-in-use for seasonal reasons."	1..1
PPE MASTER	ACQUISITION DATE	DATE	1535	9.PPE	B	BIE	Acquisition Date	PPE Master_ List. Acquisition Date. Date	PPE Master 	List		Acquisition Date		Date					Date that the PPE is acquired.	1..1
PPE MASTER	POSTED DATE	DATE	1536	9.PPE	B	BIE	Posted Date	PPE Master_ List. Posted Date. Date	PPE Master 	List		Posted Date		Date					Date when PPE is posted into accounts.	1..1
PPE MASTER	PLACED INTO SERVICE DATE	DATE	1537	9.PPE	B	BIE	Placed Into Service Date	PPE Master_ List. Placed Into Service Date. Date	PPE Master 	List		Placed Into Service Date		Date					Date that PPE is placed into use.	1..1
PPE MASTER	QUANTITY ON HAND	QUANTITY	1538	9.PPE	B	BIE	Quantity On Hand	PPE Master_ List. Quantity On Hand. Quantity	PPE Master 	List		Quantity On Hand		Quantity					Quantity of PPE items on hand.	1..1
PPE MASTER	USEFUL LIFE	NUMBER 4	1539	9.PPE	B	BIE	Useful Life	PPE Master_ List. Useful Life. Numeric	PPE Master 	List		Useful Life		Numeric					Total useful life of PPE in months.	1..1
PPE MASTER	USEFUL LIFE REMAINING	NUMBER 4	1540	9.PPE	B	BIE	Useful Life Remaining	PPE Master_ List. Useful Life Remaining. Numeric	PPE Master 	List		Useful Life Remaining		Numeric					Remaining useful life of PPE in months as of the report date.	1..1
PPE MASTER	ORIGINAL COST	AMOUNT	1541	9.PPE	B	BIE	Original Cost	PPE Master_ List. Original Cost. Functional Amount	PPE Master 	List		Original Cost		Functional Amount					Original cost of PPE.	1..1
PPE MASTER	RESIDUAL VALUE	AMOUNT	1542	9.PPE	B	BIE	Residual Value	PPE Master_ List. Residual Value. Functional Amount	PPE Master 	List		Residual Value		Functional Amount					Residual value of PPE as of the report date. This value is typically calculated by an expected residual value ratio.	0..1
PPE MASTER	ACCUMULATED DEPRECIATION	AMOUNT	1543	9.PPE	B	BIE	Accumulated Depreciation	PPE Master_ List. Accumulated Depreciation. Functional Amount	PPE Master 	List		Accumulated Depreciation		Functional Amount					The accumulated depreciation of PPE as of the report date.	1..1
PPE MASTER	IMPAIRMENT PROVISION	AMOUNT	1544	9.PPE	B	BIE	Impairment Provision	PPE Master_ List. Impairment Provision. Functional Amount	PPE Master 	List		Impairment Provision		Functional Amount					The impairment provision of PPE as of the report date.	1..1
PPE MASTER	NET BOOK VALUE	AMOUNT	1545	9.PPE	B	BIE	Net Book Value	PPE Master_ List. Net Book Value. Functional Amount	PPE Master 	List		Net Book Value		Functional Amount					"Net book value of PPE as of the report date, which equals original cost minus accumulated depreciation and impairment provision."	0..1
PPE MASTER	REPLACEMENT COST	AMOUNT	1546	9.PPE	B	BIE	Replacement Cost	PPE Master_ List. Replacement Cost. Functional Amount	PPE Master 	List		Replacement Cost		Functional Amount					The replacement cost of PPE as of the report date.	0..1
PPE MASTER	FAIR VALUE	AMOUNT	1547	9.PPE	B	BIE	Fair Value	PPE Master_ List. Fair Value. Functional Amount	PPE Master 	List		Fair Value		Functional Amount					Fair value of PPE as of the report date.	0..1
PPE MASTER	PPE ACCOUNT NUMBER	GL ACCOUNT NUMBER 100	1548	9.PPE	RL	BIE	PPE Account Number	PPE Master_ List. PPE. Chart Of Accounts_ Accounting Account	PPE Master 	List		PPE					Chart Of Accounts	Accounting Account	The GL account number on which Balance Sheet amount is recognized after the asset has been put into operation. This number is either generated by manual input or generated by the system. 	0..1
PPE MASTER	IMPAIRMENT PROVISION ACC NUM	GL ACCOUNT NUMBER 100	1549	9.PPE	RL	BIE	Impairment Provision Account Number	PPE Master_ List. Impairment Provision. Chart Of Accounts_ Accounting Account	PPE Master 	List		Impairment Provision					Chart Of Accounts	Accounting Account	The GL account number on which Balance Sheet amount is recognized for impairment provision account. This number is either generated either by manual input or generated by the system. 	0..1
PPE MASTER	ACCUMULATED DEPRECIATION ACC NUM	GL ACCOUNT NUMBER 100	1550	9.PPE	RL	BIE	Accumulated Depreciation Account Number	PPE Master_ List. Accumulated Depreciation. Chart Of Accounts_ Accounting Account	PPE Master 	List		Accumulated Depreciation					Chart Of Accounts	Accounting Account	The GL account number on which Balance Sheet amount is recognized for accumulated depreciation. This number is either generated either by manual input or generated by the system. 	0..1
PPE MASTER	CREATED	was	1551	9.PPE	AS	BIE	Created	PPE Master_ List. was. Created_ Handling	PPE Master 	List		was			Created	Handling			A create handling of this entry	1..1
PPE MASTER	APPROVED	was	1552	9.PPE	AS	BIE	Approved	PPE Master_ List. was. Approved_ Handling	PPE Master 	List		was			Approved	Handling			An approved handling of this entry	0..1
PPE MASTER	LAST MODIFIED	was	1553	9.PPE	AS	BIE	Last Modified	PPE Master_ List. was. Last Modified_ Handling	PPE Master 	List		was			Last Modified	Handling			A last modified handling of this entry	0..1
PPE MASTER	BUSINESS SEGMENT X	TEXT 25	1554	9.PPE	RL	BIE	Business Segment X	PPE Master_ List. X. Business Segment_ List	PPE Master 	List		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
PPE ADDITION	PPE ADDITION		1555	9.PPE	A	BIE	PPE Addition	PPE Addition_ Transaction Line. Detail. 	PPE Addition 	Transaction Line		Detail							Contains the information of PPE addition transactions.	
PPE ADDITION	ADDITION ID	IDENTIFIER 60	1556	9.PPE	ID	BIE	PPE Addition ID	PPE Addition_ Transaction Line. ID	PPE Addition 	Transaction Line		Identification		Identifier					The unique identifier for the addition entry.	1..1
PPE ADDITION	PPE ID	IDENTIFIER 100	1557	9.PPE	RL	BIE	PPE ID	PPE Addition_ Transaction Line. Recorded. PPE Master_ List	PPE Addition 	Transaction Line		Recorded					PPE Master 	List	The reference identifier for the PPE. 	1..1
PPE ADDITION	FISCAL YEAR	YEAR IDENTIFIER	1558	9.PPE	Rl	BIE	Fiscal Period	PPE Addition_ Transaction Line. Recorded. Fiscal Period	PPE Addition 	Transaction Line		Recorded						Fiscal Period	"Fiscal year in which the Addition Date occurs. The year shall be shown in four digits as 'YYYY', which is part of the extended format and the 'YYYY-MM-DD' in ISO 8601-1. "	1..1
PPE ADDITION	TAG NUMBER	TEXT 60	1559	9.PPE	B	BIE	Tag Number	PPE Addition_ Transaction Line. Tag Number. Text	PPE Addition 	Transaction Line		Tag Number		Text					"The tag was commonly used when there was no ERP system to record PPE's state of the whole lifespan. Nowadays, some ERP systems still follow to use it in the business of PPE. The number is usually generated by manual input or is system generated; for example, when there is a PPE, a tag is created correspondingly. And each tag contains either one PPE or several PPEs. However, each PPE has its own PPE ID as a unique identifier. If a tag only has one PPE, the PPE ID is the same as the Tag Number."	0..1
PPE ADDITION	ADDITION TYPE NAME	TEXT 60	1560	9.PPE	B	BIE	Type Name	PPE Addition_ Transaction Line. Type Name. Name	PPE Addition 	Transaction Line		Type Name		Name					"Description of the addition type; for example, purchase, invest and donate."	1..1
PPE ADDITION	ADDITION DATE	DATE	1561	9.PPE	B	BIE	Date	PPE Addition_ Transaction Line. Date. Date	PPE Addition 	Transaction Line		Date		Date					The date that addition transaction happens.	1..1
PPE ADDITION	ADDITION REASON	TEXT 200	1562	9.PPE	B	BIE	Reason	PPE Addition_ Transaction Line. Reason Code. Code	PPE Addition 	Transaction Line		Reason Code		Code					The reason why the PPE is added.	1..1
