Unique UN Assigned ID	 ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC	"Dictionary Entry Name
(auto generated)"	"Definition
Mandatory"	Object Class Term Qualifier(s)	Object Class Term	Property Term	Datatype Qualifier(s)	Representation Term	Occurrence Min	Occurrence Max		
	CC	Code. Content	A character string used to replace or represent a type of temperature.	Temperature Type	Code				1	1	UNECE_TemperatureTypeCode_D19B.TXT	
	SC	Code List. Identifier		Temperature Type	Code List	Identifier		Identifier	0	1		6245
	SC	Code List. Agency. Identifier		Temperature Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Temperature Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Temperature Type	Code	Name		Text	0	1		
UN02000093	DT	Temperature_ Unit_ Measure. Type	The numeric value determined by temperature measuring.	Temperature_ Unit	Measure		Temperature_ Unit	Measure				
	CC	Measure. Content	The numeric value determined by temperature measuring.	Temperature	Measure				1	1		
	SC	Measure Unit. Code		Temperature	Measure Unit	Code		Code	0	1	UNECE_MeasurementUnitCommonCodeTemperature_4.TXT	
	SC	Measure Unit. Code List Version. Identifier		Temperature	Measure Unit	Code List Version		Identifier	0	1		4
UN02000183	DT	Time Only_ Formatted_ Date Time. Type	A time specific formatted point in the progression of time.				Time Only_ Formatted	Date Time				
	CC	Date Time. Content	A time specific formatted point in the progression of time.	Formatted	Date Time				1	1		
	SC	Date Time. Format. Text		Formatted	Date Time	Format		Text	0	1	UNECE_TimeOnlyFormatCode2379_D19B.TXT	
UN02000016	DT	Time Reference_ Code. Type	A character string used to represent a time reference.				Time Reference	Code				
	CC	Code. Content	A character string used to represent a time reference.	Time Reference	Code				1	1	UNECE_EventTimeReferenceCode_D19B.TXT	
	SC	Code List. Identifier		Time Reference	Code List	Identifier		Identifier	0	1		2475
	SC	Code List. Agency. Identifier		Time Reference	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Time Reference	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Time Reference	Code	Name		Text	0	1		
UN02000187	DT	Title_ Code. Type	A character string used to specify a title.				Title	Code				
	CC	Code. Content	A character string used to specify a title.	Accounting Amount Qualifier	Code				1	1	Title_D19B.TXT	
	SC	Code List. Identifier		Accounting Amount Qualifier	Code List	Identifier		Identifier	0	1		Name Prefix Code_
	SC	Code List. Agency. Identifier		Accounting Amount Qualifier	Code List	Agency		Identifier	0	1		5
	SC	Code List. Version. Identifier		Accounting Amount Qualifier	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Accounting Amount Qualifier	Code List	Uniform Resource		Identifier	0	1		https://www.iso20022.org/standardsrepository/public/wqt/Description/mx/dico/codesets/_aM_9hNp-Ed-ak6NoX_4Aeg_1660850708
UN02000087	DT	Transport Equipment Category_ Code. Type	A character string used to represent the transport equipment category.				Transport Equipment Category	Code				
	CC	Code. Content	A character string used to represent the transport equipment category.	Transport Equipment Category	Code				1	1	UNECE_TransportEquipmentCategoryCode_D19B.TXT	
	SC	Code List. Identifier		Transport Equipment Category	Code List	Identifier		Identifier	0	1		8053
	SC	Code List. Agency. Identifier		Transport Equipment Category	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Equipment Category	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Equipment Category	Code	Name		Text	0	1		
UN02000088	DT	Transport Equipment Fullness_ Code. Type	A character string used to represent the transport equipment fullness.				Transport Equipment Fullness	Code				
	CC	Code. Content	A character string used to represent the transport equipment fullness.	Transport Equipment Fullness	Code				1	1	UNECE_TransportEquipmentFullnessCode_D19B.TXT	
	SC	Code List. Identifier		Transport Equipment Fullness	Code List	Identifier		Identifier	0	1		8169
	SC	Code List. Agency. Identifier		Transport Equipment Fullness	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Equipment Fullness	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Equipment Fullness	Code	Name		Text	0	1		
UN02000089	DT	Transport Equipment Haulage Arrangements_ Code. Type	A character string used to represent the transport equipment haulage arrangements.				Transport Equipment Haulage Arrangements	Code				
	CC	Code. Content	A character string used to represent the transport equipment haulage arrangements.	Transport Equipment Haulage Arrangements	Code				1	1	UNECE_TransportEquipmentHaulageArrangementsCode_D19B.TXT	
	SC	Code List. Identifier		Transport Equipment Haulage Arrangements	Code List	Identifier		Identifier	0	1		8341
	SC	Code List. Agency. Identifier		Transport Equipment Haulage Arrangements	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Equipment Haulage Arrangements	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Equipment Haulage Arrangements	Code	Name		Text	0	1		
UN02000175	DT	Transport Equipment Legal Status_ Code. Type	A character string used to represent the transport equipment legal status.				Transport Equipment Legal Status	Code				
	CC	Code. Content	A character string used to represent the transport equipment legal status.	Transport Equipment Legal Status	Code				1	1	UNECE_TransportEquipmentLegalStatusCode_D19B.TXT	
	SC	Code List. Identifier		Transport Equipment Legal Status	Code List	Identifier		Identifier	0	1		8249c
	SC	Code List. Agency. Identifier		Transport Equipment Legal Status	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Equipment Legal Status	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Equipment Legal Status	Code	Name		Text	0	1		
UN02000176	DT	Transport Equipment Movement Status_ Code. Type	A character string used to represent the transport equipment movement status.				Transport Equipment Movement Status	Code				
	CC	Code. Content	A character string used to represent the transport equipment movement status.	Transport Equipment Movement Status	Code				1	1	UNECE_TransportEquipmentMovementStatusCode_D19B.TXT	
	SC	Code List. Identifier		Transport Equipment Movement Status	Code List	Identifier		Identifier	0	1		8249a
	SC	Code List. Agency. Identifier		Transport Equipment Movement Status	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Equipment Movement Status	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Equipment Movement Status	Code	Name		Text	0	1		
UN02000177	DT	Transport Equipment Operational Status_ Code. Type	A character string used to represent the transport equipment operational status.				Transport Equipment Operational Status	Code				
	CC	Code. Content	A character string used to represent the transport equipment operational status.	Transport Equipment Operational Status	Code				1	1	UNECE_TransportEquipmentOperationalStatusCode_D19B.TXT	
	SC	Code List. Identifier		Transport Equipment Operational Status	Code List	Identifier		Identifier	0	1		8249b
	SC	Code List. Agency. Identifier		Transport Equipment Operational Status	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Equipment Operational Status	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Equipment Operational Status	Code	Name		Text	0	1		
UN02000061	DT	Transport Equipment Size Type_ Code. Type	A character string used to represent a size and type of transport equipment.				Transport Equipment Size Type	Code				
	CC	Code. Content	A character string used to represent a size and type of transport equipment.	Transport Equipment Size Type	Code				1	1	UNECE_EquipmentSizeTypeDescriptionCode_D19B.TXT	
	SC	Code List. Identifier		Transport Equipment Size Type	Code List	Identifier		Identifier	0	1		8155
	SC	Code List. Agency. Identifier		Transport Equipment Size Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Equipment Size Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Equipment Size Type	Code	Name		Text	0	1		
UN02000063	DT	Transport Equipment Supplier Party Role_ Code. Type	A character string used to represent the transport equipment supplier party role.				Transport Equipment Supplier Party Role	Code				
	CC	Code. Content	A character string used to represent the transport equipment supplier party role.	Transport Equipment Supplier Party Role	Code				1	1	UNECE_EquipmentSupplierCode_D19B.TXT	
	SC	Code List. Identifier		Transport Equipment Supplier Party Role	Code List	Identifier		Identifier	0	1		8077
	SC	Code List. Agency. Identifier		Transport Equipment Supplier Party Role	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Equipment Supplier Party Role	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Equipment Supplier Party Role	Code	Name		Text	0	1		
UN02000090	DT	Transport Means Direction_ Code. Type	A character string used to represent the transport means direction.				Transport Means Direction	Code				
	CC	Code. Content	A character string used to represent the transport means direction.	Transport Means Direction	Code				1	1	UNECE_TransportMeansDirectionCode_D19B.TXT	
	SC	Code List. Identifier		Transport Means Direction	Code List	Identifier		Identifier	0	1		8101
	SC	Code List. Agency. Identifier		Transport Means Direction	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Means Direction	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Means Direction	Code	Name		Text	0	1		
UN02000098	DT	Transport Means Type_ Code. Type	A character string used to represent the transport means type.				Transport Means Type	Code				
	CC	Code. Content	A character string used to represent the transport means type.	Transport Means Type	Code				1	1	UNECE_TransportMeansTypeCode_2007.TXT	
	SC	Code List. Identifier		Transport Means Type	Code List	Identifier		Identifier	0	1		Recommendation 28
	SC	Code List. Agency. Identifier		Transport Means Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Means Type	Code List	Version		Identifier	0	1		2007
	SC	Code. Name. Text		Transport Means Type	Code	Name		Text	0	1		
UN02000018	DT	Transport Mode_ Code. Type	A character string used to represent a transport mode.				Transport Mode	Code				
	CC	Code. Content	A character string used to represent a transport mode.	Transport Mode	Code				1	1	UNECE_TransportModeCode_2.TXT	
	SC	Code List. Identifier		Transport Mode	Code List	Identifier		Identifier	0	1		Recommendation 19
	SC	Code List. Agency. Identifier		Transport Mode	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Mode	Code List	Version		Identifier	0	1		2
	SC	Code. Name. Text		Transport Mode	Code	Name		Text	0	1		
UN02000091	DT	Transport Movement Stage_ Code. Type	A character string used to represent the transport movement stage.				Transport Movement Stage	Code				
	CC	Code. Content	A character string used to represent the transport movement stage.	Transport Movement Stage	Code				1	1	UNECE_TransportMovementStageCode_D19B.TXT	
	SC	Code List. Identifier		Transport Movement Stage	Code List	Identifier		Identifier	0	1		8051
	SC	Code List. Agency. Identifier		Transport Movement Stage	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Movement Stage	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Movement Stage	Code	Name		Text	0	1		
UN02000147	DT	Transport Movement Type_ Code. Type	A character string used to represent a transport movement type.				Transport Movement Type	Code				
	CC	Code. Content	A character string used to represent a transport movement type.	Transport Movement Type	Code				1	1	UNECE_TransportMovementTypeCode_D19B.TXT	
	SC	Code List. Identifier		Transport Movement Type	Code List	Identifier		Identifier	0	1		8323
	SC	Code List. Agency. Identifier		Transport Movement Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Movement Type	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Movement Type	Code	Name		Text	0	1		
UN02000148	DT	Transport Service Category_ Code. Type	A character string used to represent a transport service category.				Transport Service Category	Code				
	CC	Code. Content	A character string used to represent a transport service category.	Transport Service Category	Code				1	1	UNECE_TransportServiceCategoryCode_D19B.TXT	
	SC	Code List. Identifier		Transport Service Category	Code List	Identifier		Identifier	0	1		5237
	SC	Code List. Agency. Identifier		Transport Service Category	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Service Category	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Service Category	Code	Name		Text	0	1		
UN02000149	DT	Transport Service Condition_ Code. Type	A character string used to represent a transport service condition.				Transport Service Condition	Code				
	CC	Code. Content	A character string used to represent a transport service condition.	Transport Service Condition	Code				1	1	UNECE_TransportServiceConditionCode_D19B.TXT	
	SC	Code List. Identifier		Transport Service Condition	Code List	Identifier		Identifier	0	1		4065
	SC	Code List. Agency. Identifier		Transport Service Condition	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Service Condition	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Service Condition	Code	Name		Text	0	1		
UN02000150	DT	Transport Service Payment Arrangement_ Code. Type	A character string used to represent a transport service payment arrangement.				Transport Service Payment Arrangement	Code				
	CC	Code. Content	A character string used to represent a transport service payment arrangement.	Transport Service Payment Arrangement	Code				1	1	UNECE_TransportPaymentArrangementCode_D19B.TXT	
	SC	Code List. Identifier		Transport Service Payment Arrangement	Code List	Identifier		Identifier	0	1		4237
	SC	Code List. Agency. Identifier		Transport Service Payment Arrangement	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Service Payment Arrangement	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Service Payment Arrangement	Code	Name		Text	0	1		
UN02000151	DT	Transport Service Priority_ Code. Type	A character string used to represent a transport service priority.				Transport Service Priority	Code				
	CC	Code. Content	A character string used to represent a transport service priority.	Transport Service Priority	Code				1	1	UNECE_TransportServicePriorityCode_D19B.TXT	
	SC	Code List. Identifier		Transport Service Priority	Code List	Identifier		Identifier	0	1		4219
	SC	Code List. Agency. Identifier		Transport Service Priority	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Service Priority	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Service Priority	Code	Name		Text	0	1		
UN02000152	DT	Transport Service Requirement_ Code. Type	A character string used to represent a transport service requirement.				Transport Service Requirement	Code				
	CC	Code. Content	A character string used to represent a transport service requirement.	Transport Service Requirement	Code				1	1	UNECE_TransportServiceRequirementCode_D19B.TXT	
	SC	Code List. Identifier		Transport Service Requirement	Code List	Identifier		Identifier	0	1		7273
	SC	Code List. Agency. Identifier		Transport Service Requirement	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Transport Service Requirement	Code List	Version		Identifier	0	1		D19B
	SC	Code. Name. Text		Transport Service Requirement	Code	Name		Text	0	1		
UN02000181	DT	Unit_ Measure. Type	A numeric value determined by measuring an object along with the specified unit of measure.	Unit	Measure		Unit	Measure				
	CC	Measure. Content	A code specifying a unit of measure.	Weight	Measure				1	1		
	SC	Measure Unit. Code		Weight	Measure Unit	Code		Code	0	1	UNECE_MeasurementUnitCommonCode_4.TXT	
	SC	Measure Unit. Code List Version. Identifier		Weight	Measure Unit	Code List Version		Identifier	0	1		4
UN02000189	DT	Validation_ Document Status_ Code. Type	A character string used to represent the document status condition of a validation document.				Validation_ Document Status	Code				
	CC	Code. Content	A character string used to represent the document status condition of a validation document.	Access Rights Type	Code				1	1	UNECE_ValidationDocumentStatusCode_D19B.TXT	
	SC	Code List. Identifier		Access Rights Type	Code List	Identifier		Identifier	0	1		1373
	SC	Code List. Agency. Identifier		Access Rights Type	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Access Rights Type	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Access Rights Type	Code List	Uniform Resource		Identifier	0	1		
UN02000094	DT	Volume_ Unit_ Measure. Type	The numeric value determined by volume measuring.	Volume_ Unit	Measure		Volume_ Unit	Measure				
	CC	Measure. Content	The numeric value determined by volume measuring.	Volume	Measure				1	1		
	SC	Measure Unit. Code		Volume	Measure Unit	Code		Code	0	1	UNECE_MeasurementUnitCommonCodeVolume_4.TXT	
	SC	Measure Unit. Code List Version. Identifier		Volume	Measure Unit	Code List Version		Identifier	0	1		4
UN02000095	DT	Weight_ Unit_ Measure. Type	The numeric value determined by weight measuring.	Weight_ Unit	Measure		Weight_ Unit	Measure				
	CC	Measure. Content	The numeric value determined by weight measuring.	Weight	Measure				1	1		
	SC	Measure Unit. Code		Weight	Measure Unit	Code		Code	0	1	UNECE_MeasurementUnitCommonCodeWeight_4.TXT	
	SC	Measure Unit. Code List Version. Identifier		Weight	Measure Unit	Code List Version		Identifier	0	1		4
UN02000129	DT	Workflow_ Status_ Code. Type	A character string used to represent a workflow status.				Workflow_ Status	Code				
	CC	Code. Content	A character string used to represent a workflow status.	Workflow_ Status	Code				1	1	UNECE_StatusCode_Workflow_D19B.TXT	
	SC	Code List. Identifier		Workflow_ Status	Code List	Identifier		Identifier	0	1		4405_Workflow
	SC	Code List. Agency. Identifier		Workflow_ Status	Code List	Agency		Identifier	0	1		6
	SC	Code List. Version. Identifier		Workflow_ Status	Code List	Version		Identifier	0	1		D19B
	SC	Code List. Uniform Resource. Identifier		Workflow_ Status	Code List	Uniform Resource		Identifier	0	1		
	END											
